pair_id,feature_key,feature,screen_key,screen_model,width_cm,height_cm,diagonal_in,screen_area_cm2,canvas_width,canvas_height,tree_size,tree_path,actor,task_index,target_id,topology_safe,execution_order_safe,resource_positions_safe,new_overlap_pairs,new_hierarchy_violations,primary_metric,primary_effect_pct,off_overlap_pairs,on_overlap_pairs,other_cards_moved,max_other_move_px,far_cards_moved,effect_contract_pass,information_field_reduction_pct,fully_visible_card_gain,controlled_crossing_length_px,weighted_revealed_edge_px,protected_text_masks,salience_ratio,unrelated_nodes,unrelated_nodes_dimmed,full_bright_view_reduction_pct,off_target_width_px,on_target_width_px,target_field_gain,far_mean_alpha,local_layout_cards,local_reflow_cards
laptop_15_94|031|t1|auto_spacing,auto_spacing,Smart Drag Reflow,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,1190,770,31,res://behavior_trees/arena_scout_31.tres,Scout,1,8,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
laptop_15_94|031|t2|auto_spacing,auto_spacing,Smart Drag Reflow,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,1190,770,31,res://behavior_trees/arena_scout_31.tres,Scout,2,16,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,3.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
laptop_15_94|031|t3|auto_spacing,auto_spacing,Smart Drag Reflow,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,1190,770,31,res://behavior_trees/arena_scout_31.tres,Scout,3,23,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
laptop_15_94|061|t1|auto_spacing,auto_spacing,Smart Drag Reflow,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,1190,770,61,res://behavior_trees/arena_skirmisher_61.tres,Skirmisher,1,15,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,2.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
laptop_15_94|061|t2|auto_spacing,auto_spacing,Smart Drag Reflow,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,1190,770,61,res://behavior_trees/arena_skirmisher_61.tres,Skirmisher,2,38,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
laptop_15_94|061|t3|auto_spacing,auto_spacing,Smart Drag Reflow,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,1190,770,61,res://behavior_trees/arena_skirmisher_61.tres,Skirmisher,3,49,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
laptop_15_94|121|t1|auto_spacing,auto_spacing,Smart Drag Reflow,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,1190,770,121,res://behavior_trees/arena_hunter_121.tres,Hunter,1,32,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,2.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
laptop_15_94|121|t2|auto_spacing,auto_spacing,Smart Drag Reflow,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,1190,770,121,res://behavior_trees/arena_hunter_121.tres,Hunter,2,64,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
laptop_15_94|121|t3|auto_spacing,auto_spacing,Smart Drag Reflow,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,1190,770,121,res://behavior_trees/arena_hunter_121.tres,Hunter,3,94,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
laptop_15_94|241|t1|auto_spacing,auto_spacing,Smart Drag Reflow,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,1190,770,241,res://behavior_trees/arena_tactician_241.tres,Tactician,1,59,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,4.0,208.537490844727,1.0,True,,,,,,,,,,,,,,,
laptop_15_94|241|t2|auto_spacing,auto_spacing,Smart Drag Reflow,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,1190,770,241,res://behavior_trees/arena_tactician_241.tres,Tactician,2,123,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
laptop_15_94|241|t3|auto_spacing,auto_spacing,Smart Drag Reflow,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,1190,770,241,res://behavior_trees/arena_tactician_241.tres,Tactician,3,188,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
laptop_15_94|364|t1|auto_spacing,auto_spacing,Smart Drag Reflow,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,1190,770,364,res://behavior_trees/arena_commander_364.tres,Commander,1,93,True,True,True,-7,0,induced_overlap_area_reduction_pct,100.0,7.0,0.0,4.0,208.537490844727,1.0,True,,,,,,,,,,,,,,,
laptop_15_94|364|t2|auto_spacing,auto_spacing,Smart Drag Reflow,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,1190,770,364,res://behavior_trees/arena_commander_364.tres,Commander,2,186,True,True,True,-7,0,induced_overlap_area_reduction_pct,100.0,7.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
laptop_15_94|364|t3|auto_spacing,auto_spacing,Smart Drag Reflow,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,1190,770,364,res://behavior_trees/arena_commander_364.tres,Commander,3,277,True,True,True,-7,0,induced_overlap_area_reduction_pct,100.0,7.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
large_31_55|031|t1|auto_spacing,auto_spacing,Smart Drag Reflow,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,1,8,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
large_31_55|031|t2|auto_spacing,auto_spacing,Smart Drag Reflow,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,2,16,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,3.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
large_31_55|031|t3|auto_spacing,auto_spacing,Smart Drag Reflow,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,3,23,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
large_31_55|061|t1|auto_spacing,auto_spacing,Smart Drag Reflow,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,2450,1365,61,res://behavior_trees/arena_skirmisher_61.tres,Skirmisher,1,15,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,2.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
large_31_55|061|t2|auto_spacing,auto_spacing,Smart Drag Reflow,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,2450,1365,61,res://behavior_trees/arena_skirmisher_61.tres,Skirmisher,2,38,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
large_31_55|061|t3|auto_spacing,auto_spacing,Smart Drag Reflow,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,2450,1365,61,res://behavior_trees/arena_skirmisher_61.tres,Skirmisher,3,49,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
large_31_55|121|t1|auto_spacing,auto_spacing,Smart Drag Reflow,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,2450,1365,121,res://behavior_trees/arena_hunter_121.tres,Hunter,1,32,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,2.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
large_31_55|121|t2|auto_spacing,auto_spacing,Smart Drag Reflow,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,2450,1365,121,res://behavior_trees/arena_hunter_121.tres,Hunter,2,64,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
large_31_55|121|t3|auto_spacing,auto_spacing,Smart Drag Reflow,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,2450,1365,121,res://behavior_trees/arena_hunter_121.tres,Hunter,3,94,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
large_31_55|241|t1|auto_spacing,auto_spacing,Smart Drag Reflow,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,2450,1365,241,res://behavior_trees/arena_tactician_241.tres,Tactician,1,59,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,4.0,208.537490844727,1.0,True,,,,,,,,,,,,,,,
large_31_55|241|t2|auto_spacing,auto_spacing,Smart Drag Reflow,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,2450,1365,241,res://behavior_trees/arena_tactician_241.tres,Tactician,2,123,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
large_31_55|241|t3|auto_spacing,auto_spacing,Smart Drag Reflow,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,2450,1365,241,res://behavior_trees/arena_tactician_241.tres,Tactician,3,188,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
large_31_55|364|t1|auto_spacing,auto_spacing,Smart Drag Reflow,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,2450,1365,364,res://behavior_trees/arena_commander_364.tres,Commander,1,93,True,True,True,-7,0,induced_overlap_area_reduction_pct,100.0,7.0,0.0,4.0,208.537490844727,1.0,True,,,,,,,,,,,,,,,
large_31_55|364|t2|auto_spacing,auto_spacing,Smart Drag Reflow,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,2450,1365,364,res://behavior_trees/arena_commander_364.tres,Commander,2,186,True,True,True,-7,0,induced_overlap_area_reduction_pct,100.0,7.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
large_31_55|364|t3|auto_spacing,auto_spacing,Smart Drag Reflow,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,2450,1365,364,res://behavior_trees/arena_commander_364.tres,Commander,3,277,True,True,True,-7,0,induced_overlap_area_reduction_pct,100.0,7.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
medium_26_96|031|t1|auto_spacing,auto_spacing,Smart Drag Reflow,medium_26_96,H27T22S,60.0,33.0,26.9574,1980.0,2100,1155,31,res://behavior_trees/arena_scout_31.tres,Scout,1,8,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
medium_26_96|031|t2|auto_spacing,auto_spacing,Smart Drag Reflow,medium_26_96,H27T22S,60.0,33.0,26.9574,1980.0,2100,1155,31,res://behavior_trees/arena_scout_31.tres,Scout,2,16,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,3.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
medium_26_96|031|t3|auto_spacing,auto_spacing,Smart Drag Reflow,medium_26_96,H27T22S,60.0,33.0,26.9574,1980.0,2100,1155,31,res://behavior_trees/arena_scout_31.tres,Scout,3,23,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
medium_26_96|061|t1|auto_spacing,auto_spacing,Smart Drag Reflow,medium_26_96,H27T22S,60.0,33.0,26.9574,1980.0,2100,1155,61,res://behavior_trees/arena_skirmisher_61.tres,Skirmisher,1,15,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,2.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
medium_26_96|061|t2|auto_spacing,auto_spacing,Smart Drag Reflow,medium_26_96,H27T22S,60.0,33.0,26.9574,1980.0,2100,1155,61,res://behavior_trees/arena_skirmisher_61.tres,Skirmisher,2,38,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
medium_26_96|061|t3|auto_spacing,auto_spacing,Smart Drag Reflow,medium_26_96,H27T22S,60.0,33.0,26.9574,1980.0,2100,1155,61,res://behavior_trees/arena_skirmisher_61.tres,Skirmisher,3,49,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
medium_26_96|121|t1|auto_spacing,auto_spacing,Smart Drag Reflow,medium_26_96,H27T22S,60.0,33.0,26.9574,1980.0,2100,1155,121,res://behavior_trees/arena_hunter_121.tres,Hunter,1,32,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,2.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
medium_26_96|121|t2|auto_spacing,auto_spacing,Smart Drag Reflow,medium_26_96,H27T22S,60.0,33.0,26.9574,1980.0,2100,1155,121,res://behavior_trees/arena_hunter_121.tres,Hunter,2,64,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
medium_26_96|121|t3|auto_spacing,auto_spacing,Smart Drag Reflow,medium_26_96,H27T22S,60.0,33.0,26.9574,1980.0,2100,1155,121,res://behavior_trees/arena_hunter_121.tres,Hunter,3,94,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
medium_26_96|241|t1|auto_spacing,auto_spacing,Smart Drag Reflow,medium_26_96,H27T22S,60.0,33.0,26.9574,1980.0,2100,1155,241,res://behavior_trees/arena_tactician_241.tres,Tactician,1,59,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,4.0,208.537490844727,1.0,True,,,,,,,,,,,,,,,
medium_26_96|241|t2|auto_spacing,auto_spacing,Smart Drag Reflow,medium_26_96,H27T22S,60.0,33.0,26.9574,1980.0,2100,1155,241,res://behavior_trees/arena_tactician_241.tres,Tactician,2,123,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
medium_26_96|241|t3|auto_spacing,auto_spacing,Smart Drag Reflow,medium_26_96,H27T22S,60.0,33.0,26.9574,1980.0,2100,1155,241,res://behavior_trees/arena_tactician_241.tres,Tactician,3,188,True,True,True,-1,0,induced_overlap_area_reduction_pct,100.0,1.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
medium_26_96|364|t1|auto_spacing,auto_spacing,Smart Drag Reflow,medium_26_96,H27T22S,60.0,33.0,26.9574,1980.0,2100,1155,364,res://behavior_trees/arena_commander_364.tres,Commander,1,93,True,True,True,-7,0,induced_overlap_area_reduction_pct,100.0,7.0,0.0,4.0,208.537490844727,1.0,True,,,,,,,,,,,,,,,
medium_26_96|364|t2|auto_spacing,auto_spacing,Smart Drag Reflow,medium_26_96,H27T22S,60.0,33.0,26.9574,1980.0,2100,1155,364,res://behavior_trees/arena_commander_364.tres,Commander,2,186,True,True,True,-7,0,induced_overlap_area_reduction_pct,100.0,7.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
medium_26_96|364|t3|auto_spacing,auto_spacing,Smart Drag Reflow,medium_26_96,H27T22S,60.0,33.0,26.9574,1980.0,2100,1155,364,res://behavior_trees/arena_commander_364.tres,Commander,3,277,True,True,True,-7,0,induced_overlap_area_reduction_pct,100.0,7.0,0.0,1.0,208.537490844727,0.0,True,,,,,,,,,,,,,,,
laptop_15_94|031|t1|semantic_zoom,semantic_zoom,Adaptive Zoom Detail,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,1190,770,31,res://behavior_trees/arena_scout_31.tres,Scout,1,8,True,True,True,0,0,card_area_reduction_pct,58.1270960172912,,,,,,True,50.83333333333333,0.0,,,,,,,,,,,,,
laptop_15_94|031|t2|semantic_zoom,semantic_zoom,Adaptive Zoom Detail,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,1190,770,31,res://behavior_trees/arena_scout_31.tres,Scout,2,16,True,True,True,0,0,card_area_reduction_pct,58.127097586901286,,,,,,True,50.83333333333333,0.0,,,,,,,,,,,,,
laptop_15_94|031|t3|semantic_zoom,semantic_zoom,Adaptive Zoom Detail,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,1190,770,31,res://behavior_trees/arena_scout_31.tres,Scout,3,23,True,True,True,0,0,card_area_reduction_pct,58.127099255996725,,,,,,True,50.83333333333333,0.0,,,,,,,,,,,,,
laptop_15_94|061|t1|semantic_zoom,semantic_zoom,Adaptive Zoom Detail,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,1190,770,61,res://behavior_trees/arena_skirmisher_61.tres,Skirmisher,1,15,True,True,True,0,0,card_area_reduction_pct,57.32188434752942,,,,,,True,51.31578947368421,0.0,,,,,,,,,,,,,
laptop_15_94|061|t2|semantic_zoom,semantic_zoom,Adaptive Zoom Detail,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,1190,770,61,res://behavior_trees/arena_skirmisher_61.tres,Skirmisher,2,38,True,True,True,0,0,card_area_reduction_pct,57.321884745480055,,,,,,True,51.31578947368421,0.0,,,,,,,,,,,,,
laptop_15_94|061|t3|semantic_zoom,semantic_zoom,Adaptive Zoom Detail,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,1190,770,61,res://behavior_trees/arena_skirmisher_61.tres,Skirmisher,3,49,True,True,True,0,0,card_area_reduction_pct,57.321884745480055,,,,,,True,51.31578947368421,0.0,,,,,,,,,,,,,
laptop_15_94|121|t1|semantic_zoom,semantic_zoom,Adaptive Zoom Detail,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,1190,770,121,res://behavior_trees/arena_hunter_121.tres,Hunter,1,32,True,True,True,0,0,card_area_reduction_pct,57.63565640049718,,,,,,True,52.083333333333336,0.0,,,,,,,,,,,,,
laptop_15_94|121|t2|semantic_zoom,semantic_zoom,Adaptive Zoom Detail,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,1190,770,121,res://behavior_trees/arena_hunter_121.tres,Hunter,2,64,True,True,True,0,0,card_area_reduction_pct,57.635654664690385,,,,,,True,52.083333333333336,0.0,,,,,,,,,,,,,
laptop_15_94|121|t3|semantic_zoom,semantic_zoom,Adaptive Zoom Detail,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,1190,770,121,res://behavior_trees/arena_hunter_121.tres,Hunter,3,94,True,True,True,0,0,card_area_reduction_pct,57.63565633653381,,,,,,True,52.083333333333336,0.0,,,,,,,,,,,,,
