pair_id,state,feature_key,feature,screen_key,screen_model,width_cm,height_cm,diagonal_in,screen_area_cm2,logical_units_per_cm,canvas_width,canvas_height,tree_size,tree_path,actor,task_index,target_id,secondary_id,drag_source_id,drag_target_id,resource_nodes,canvas_cards,decorators,graph_canvas_width,graph_canvas_height,operation_zoom,cards_in_viewport,cards_fully_in_viewport,card_visible_area_px2,card_area_px2,overlap_pairs,overlap_area_px2,information_fields,hierarchy_violations,resource_positions_unchanged,topology_unchanged,execution_order_unchanged,smart_overlap_pairs,smart_overlap_area_px2,smart_other_cards_moved,smart_max_other_move_px,smart_far_cards_moved,smart_solver_active,smart_resource_positions_unchanged,adaptive_detail_level,adaptive_compact,adaptive_card_area_px2,adaptive_cards_in_viewport,adaptive_cards_fully_in_viewport,adaptive_card_visible_area_px2,adaptive_information_fields,adaptive_overlap_pairs,adaptive_overlap_area_px2,adaptive_hierarchy_violations,overlay_from_id,overlay_to_id,overlay_blocker_id,overlay_crossing_length_px,overlay_background_alpha,overlay_revealed_edge_weighted_px,overlay_text_mask_count,overlay_routes_unchanged,related_selected_count,related_expected_count,related_unrelated_count,related_correctly_classified,related_correctly_dimmed,related_mean_alpha,related_unrelated_mean_alpha,related_salience_ratio,related_full_bright_in_view,fisheye_controlled_prerequisite,fisheye_target_width_px,fisheye_baseline_width_px,fisheye_target_fields,fisheye_magnified_cards,fisheye_nonfocus_magnified_cards,fisheye_far_mean_alpha,fisheye_far_mean_scale,fisheye_reflow_cards,fisheye_layout_cards,fisheye_protected_overlap_pairs,fisheye_protected_overlap_area_px2,fisheye_stationary_focus_id,engine,renderer,gpu
laptop_15_94|031|t1|auto_spacing,off,auto_spacing,Smart Drag Reflow,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,35.0,1190,770,31,res://behavior_trees/arena_scout_31.tres,Scout,1,8,15,5,6,31,30,1,858.0,642.0,0.75,6,3,202158.0,1145529.0,1,35861.625,120,0,true,true,true,1,35861.625,0,0.0,0,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
laptop_15_94|031|t1|auto_spacing,on,auto_spacing,Smart Drag Reflow,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,35.0,1190,770,31,res://behavior_trees/arena_scout_31.tres,Scout,1,8,15,5,6,31,30,1,858.0,642.0,0.75,6,3,202158.00390625,1145529.0,0,0.0,120,0,true,true,true,0,0.0,1,208.537490844727,0,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
laptop_15_94|031|t1|semantic_zoom,off,semantic_zoom,Adaptive Zoom Detail,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,35.0,1190,770,31,res://behavior_trees/arena_scout_31.tres,Scout,1,8,15,5,6,31,30,1,858.0,642.0,0.6,5,5,148854.251953125,733138.652329104,0,0.0,120,0,true,true,true,,,,,,,,2,false,733138.652329104,5,5,148854.251953125,120,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
laptop_15_94|031|t1|semantic_zoom,on,semantic_zoom,Adaptive Zoom Detail,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,35.0,1190,770,31,res://behavior_trees/arena_scout_31.tres,Scout,1,8,15,5,6,31,30,1,858.0,642.0,0.6,5,5,61359.474609375,306986.443949891,0,0.0,59,0,true,true,true,,,,,,,,0,true,306986.443949891,5,5,61359.474609375,59,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
laptop_15_94|031|t1|translucent_cards,off,translucent_cards,Readable Edge Overlay,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,35.0,1190,770,31,res://behavior_trees/arena_scout_31.tres,Scout,1,8,15,5,6,31,30,1,858.0,642.0,0.75,2,2,76137.3437805176,1145529.0,0,0.0,120,1,true,true,true,,,,,,,,,,,,,,,,,,3,31,20,199.741784851258,1.0,0.0,0,true,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
laptop_15_94|031|t1|translucent_cards,on,translucent_cards,Readable Edge Overlay,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,35.0,1190,770,31,res://behavior_trees/arena_scout_31.tres,Scout,1,8,15,5,6,31,30,1,858.0,642.0,0.75,2,2,76137.3437805176,1145529.0,0,0.0,120,1,true,true,true,,,,,,,,,,,,,,,,,,3,31,20,199.741784851258,0.72,55.9276997583521,210,true,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
laptop_15_94|031|t1|breadcrumb,off,breadcrumb,Related Node Focus,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,35.0,1190,770,31,res://behavior_trees/arena_scout_31.tres,Scout,1,8,15,5,6,31,30,1,858.0,642.0,0.60000002384186,5,5,148854.251953125,733138.652329104,0,0.0,120,0,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,13,30,0,1.0,1.0,1.0,5,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
laptop_15_94|031|t1|breadcrumb,on,breadcrumb,Related Node Focus,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,35.0,1190,770,31,res://behavior_trees/arena_scout_31.tres,Scout,1,8,15,5,6,31,30,1,858.0,642.0,0.60000002384186,5,5,148854.251953125,733138.652329104,0,0.0,120,0,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,13,17,13,1.0,0.18000000715256,5.55555533479762,3,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
laptop_15_94|031|t1|fisheye,off,fisheye,Fisheye Focus,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,35.0,1190,770,31,res://behavior_trees/arena_scout_31.tres,Scout,1,8,15,5,6,31,30,1,858.0,642.0,0.6,5,5,61359.474609375,306986.443949891,0,0.0,59,0,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adaptive Zoom Detail,127.800003051758,127.800003051758,2,0,0,1.0,1.0,0,0,0,0.0,-1,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
laptop_15_94|031|t1|fisheye,on,fisheye,Fisheye Focus,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,35.0,1190,770,31,res://behavior_trees/arena_scout_31.tres,Scout,1,8,15,5,6,31,30,1,858.0,642.0,0.6,5,5,79359.4812011719,289475.329803774,0,0.0,61,0,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adaptive Zoom Detail,223.800003051758,127.800003051758,4,1,0,0.12,0.68,0,3,0,0.0,8,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
