session,device_key,gdi_name,manufacturer,model,serial,width_cm,height_cm,diagonal_in,screen_area_cm2,logical_units_per_cm,normalized_canvas_width,normalized_canvas_height,godot_screen_index,trial,size_sequence_position,condition_sequence_position,tree_size,condition,resource_nodes,rendered_cards,decorators,context_retention_ratio,cards_in_viewport_before_fit,viewport_coverage_before_fit_ratio,cards_in_viewport_after_fit,fit_viewport_coverage_ratio,fit_zoom,bounds_area_cm2,graph_to_screen_area_ratio,card_area_cm2,overlap_pairs,min_parent_child_gap_px,information_fields,dimmed_cards,target_in_viewport,target_center_error_ratio,interaction_ms,engine_version,renderer,gpu
2026-08-23_three_displays,BOE0CD1_UID512,\\.\DISPLAY1,BOE,BOE0CD1,65441,34.0,22.0,15.9436667175721,748.0,35.0,1190,770,0,1,1,1,31,Baseline,31,26,5,1.0,0,0.0,26,1.0,0.1402812898159,7207.53632653061,9.63574375204627,1487.86285714286,0,60.0,6,0,false,3.48553103911513,83.337,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
2026-08-23_three_displays,BOE0CD1_UID512,\\.\DISPLAY1,BOE,BOE0CD1,65441,34.0,22.0,15.9436667175721,748.0,35.0,1190,770,0,1,1,2,31,Compact Cards,31,26,5,1.0,0,0.0,26,1.0,0.14176385104656,6428.8,8.59465240641711,575.070204081633,0,163.0,2,0,false,3.44265860633972,50.053,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
2026-08-23_three_displays,BOE0CD1_UID512,\\.\DISPLAY1,BOE,BOE0CD1,65441,34.0,22.0,15.9436667175721,748.0,35.0,1190,770,0,1,1,3,31,Optimized Overview,31,26,5,1.0,0,0.0,26,1.0,0.14176385104656,5992.72163265306,8.01165993670195,143.767551020408,0,242.5,1,0,false,1.72132930316986,49.623,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
2026-08-23_three_displays,BOE0CD1_UID512,\\.\DISPLAY1,BOE,BOE0CD1,65441,34.0,22.0,15.9436667175721,748.0,35.0,1190,770,0,1,1,4,31,Optimized Search,31,26,5,1.0,6,0.23076923076923,26,1.0,0.14176385104656,5992.72163265306,8.01165993670195,143.767551020408,0,242.5,1,25,true,0.00499796051416,51.394,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
2026-08-23_three_displays,BOE0CD1_UID512,\\.\DISPLAY1,BOE,BOE0CD1,65441,34.0,22.0,15.9436667175721,748.0,35.0,1190,770,0,1,1,5,31,Subtree Focus,31,6,5,0.23076923076923,0,0.0,6,1.0,0.330641746521,2118.66040816327,2.83243370075303,138.565714285714,0,163.0,2,0,false,-1.0,48.641,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
2026-08-23_three_displays,BOE0CD1_UID512,\\.\DISPLAY1,BOE,BOE0CD1,65441,34.0,22.0,15.9436667175721,748.0,35.0,1190,770,0,1,1,6,31,Context Collapse,31,8,5,0.30769230769231,0,0.0,8,1.0,0.18666027486324,3752.9012244898,5.01724762632326,185.164897959184,0,163.0,2,0,false,-1.0,49.399,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
2026-08-23_three_displays,BOE0CD1_UID512,\\.\DISPLAY1,BOE,BOE0CD1,65441,34.0,22.0,15.9436667175721,748.0,35.0,1190,770,0,1,2,1,61,Compact Cards,61,51,10,1.0,0,0.0,39,0.76470588235294,0.10000000149012,15532.2906122449,20.7650944013969,1128.90612244898,0,163.0,2,0,false,2.99125380152026,66.028,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
2026-08-23_three_displays,BOE0CD1_UID512,\\.\DISPLAY1,BOE,BOE0CD1,65441,34.0,22.0,15.9436667175721,748.0,35.0,1190,770,0,1,2,2,61,Optimized Overview,61,51,10,1.0,0,0.0,39,0.76470588235294,0.10000000149012,14759.8465306122,19.7324151478773,282.226530612245,0,242.5,1,0,false,1.49562690076013,95.629,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
2026-08-23_three_displays,BOE0CD1_UID512,\\.\DISPLAY1,BOE,BOE0CD1,65441,34.0,22.0,15.9436667175721,748.0,35.0,1190,770,0,1,2,3,61,Optimized Search,61,51,10,1.0,7,0.13725490196078,39,0.76470588235294,0.10000000149012,14759.8465306122,19.7324151478773,282.226530612245,0,242.5,1,50,true,0.00499796051416,101.783,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
2026-08-23_three_displays,BOE0CD1_UID512,\\.\DISPLAY1,BOE,BOE0CD1,65441,34.0,22.0,15.9436667175721,748.0,35.0,1190,770,0,1,2,4,61,Subtree Focus,61,7,10,0.13725490196078,0,0.0,7,1.0,0.22678910195827,3959.77714285714,5.29381970970206,159.864489795918,0,163.0,2,0,false,-1.0,81.653,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
